"PathName","N_Genes","DeltaFold","BestPvalue","Fold_Rv0827c_DMSO_noDrug","Pvalue_Rv0827c_DMSO_noDrug","Fold_Rv0827c_DMSO_RIF","Pvalue_Rv0827c_DMSO_RIF"
"TFOE Regulon of Rv2779c",3,0.02959,"1.00e+00",-0.01675,"1.00e+00",0.01284,"1.00e+00"
"TFOE Regulon of Rv3911 (sigM)",56,0.0292,"1.00e+00",0.01266,"1.00e+00",-0.01653,"1.00e+00"
"TFOE Regulon of Rv2242",89,0.02833,"1.00e+00",0.00431,"1.00e+00",-0.02402,"1.00e+00"
"TFOE Regulon of Rv1221 (sigE)",25,0.0282,"1.00e+00",0.0064,"1.00e+00",-0.0218,"1.00e+00"
"TFOE Regulon of Rv2374c (hrcA)",21,0.02768,"1.00e+00",-0.00604,"1.00e+00",0.02164,"1.00e+00"
"TFOE Regulon of Rv1186c",26,0.02737,"1.00e+00",0.0125,"1.00e+00",-0.01487,"1.00e+00"
"TFOE Regulon of Rv2160A",2,0.02471,"1.00e+00",-0.00514,"1.00e+00",0.01956,"1.00e+00"
"TFOE Regulon of Rv2160c",2,0.02471,"1.00e+00",-0.00514,"1.00e+00",0.01956,"1.00e+00"
"TFOE Regulon of Rv1994c (cmtR)",45,0.02429,"1.00e+00",0.00457,"1.00e+00",-0.01972,"1.00e+00"
"TFOE Regulon of Rv1846c (blaI)",9,0.02339,"1.00e+00",-0.01734,"1.00e+00",0.00605,"1.00e+00"
"TFOE Regulon of Rv0135c",17,0.0214,"1.00e+00",0.00491,"1.00e+00",-0.01649,"1.00e+00"
"TFOE Regulon of Rv3095",21,0.02106,"1.00e+00",-0.00171,"1.00e+00",-0.04382,"1.00e+00"
"TFOE Regulon of Rv2359 (zur)",6,0.0181,"1.00e+00",-0.01453,"1.00e+00",0.00357,"1.00e+00"
"TFOE Regulon of Rv2912c",3,0.01766,"1.00e+00",-0.01678,"1.00e+00",0.00088,"1.00e+00"
"TFOE Regulon of Rv1176c",3,0.01699,"1.00e+00",-0.03468,"1.00e+00",-0.00069,"1.00e+00"
"TFOE Regulon of Rv1816",17,0.01693,"1.00e+00",0.00565,"1.00e+00",-0.01128,"1.00e+00"
"TFOE Regulon of Rv0472c",17,0.01561,"1.00e+00",0.01019,"1.00e+00",-0.00543,"1.00e+00"
"TFOE Regulon of Rv0067c",2,0.01403,"1.00e+00",-0.06291,"1.00e+00",-0.03484,"1.00e+00"
"TFOE Regulon of Rv1909c (furA)",12,0.01359,"1.00e+00",-0.0162,"1.00e+00",-0.04337,"1.00e+00"
"TFOE Regulon of Rv2478c",2,0.01323,"1.00e+00",-0.0126,"1.00e+00",0.00063,"1.00e+00"
"TFOE Regulon of Rv2258c",7,0.01113,"1.00e+00",-0.00316,"1.00e+00",-0.02543,"1.00e+00"
"TFOE Regulon of Rv0452",17,0.01098,"1.00e+00",-0.00829,"1.00e+00",0.00269,"1.00e+00"
"TFOE Regulon of Rv0653c",6,0.00991,"1.00e+00",-0.00014,"1.00e+00",-0.01996,"1.00e+00"
"TFOE Regulon of Rv1725c",3,0.00911,"1.00e+00",-0.01981,"1.00e+00",-0.03803,"1.00e+00"
"TFOE Regulon of Rv1189 (sigI)",6,0.00762,"1.00e+00",0.02092,"1.00e+00",0.00567,"1.00e+00"
"TFOE Regulon of Rv0212c (nadR)",15,0.00587,"1.00e+00",-0.00375,"1.00e+00",-0.01549,"1.00e+00"
"TFOE Regulon of Rv1332",16,0.00574,"1.00e+00",-0.01686,"1.00e+00",-0.02835,"1.00e+00"
"TFOE Regulon of Rv3173c",4,0.00527,"1.00e+00",0.00519,"1.00e+00",0.01573,"1.00e+00"
"TFOE Regulon of Rv3736",12,0.0052,"1.00e+00",-0.01192,"1.00e+00",-0.02231,"1.00e+00"
"TFOE Regulon of Rv0348",34,0.00501,"1.00e+00",0.01318,"1.00e+00",0.00316,"1.00e+00"
"TFOE Regulon of Rv0880",18,0.00465,"1.00e+00",-0.00053,"1.00e+00",-0.00982,"1.00e+00"
"TFOE Regulon of Rv0586 (mce2R)",11,0.00433,"1.00e+00",-0.00899,"1.00e+00",-0.00034,"1.00e+00"
"TFOE Regulon of Rv0054 (ssb)",18,0.00419,"1.00e+00",0.01197,"1.00e+00",0.00359,"1.00e+00"
"TFOE Regulon of Rv2989",3,0.00393,"1.00e+00",0.00472,"1.00e+00",0.01258,"1.00e+00"
"TFOE Regulon of Rv2711 (ideR)",3,0.00337,"1.00e+00",0.01081,"1.00e+00",0.00407,"1.00e+00"
"TFOE Regulon of Rv0981 (mprA)",2,0.00327,"1.00e+00",0.00937,"1.00e+00",0.00284,"1.00e+00"
"TFOE Regulon of Rv2720 (lexA)",11,0.00325,"1.00e+00",0.01282,"1.00e+00",0.00631,"1.00e+00"
"TFOE Regulon of Rv1027c (kdpE)",6,0.00241,"1.00e+00",-0.01476,"1.00e+00",-0.01957,"1.00e+00"
"TFOE Regulon of Rv0599c (vapB27)",6,0.00241,"1.00e+00",-0.00814,"1.00e+00",-0.01295,"1.00e+00"
"TFOE Regulon of Rv3840",21,0.00222,"1.00e+00",0.01121,"1.00e+00",0.00677,"1.00e+00"
"TFOE Regulon of Rv0377",4,0.00163,"1.00e+00",-0.01114,"1.00e+00",-0.00788,"1.00e+00"
"TFOE Regulon of Rv1167c",9,0.00023,"1.00e+00",0.00953,"1.00e+00",0.00908,"1.00e+00"
"TFOE Regulon of Rv1152",11,0.00014,"1.00e+00",-0.00874,"1.00e+00",-0.00902,"1.00e+00"
