"PathName","N_Genes","DeltaFold","BestPvalue","Fold_Rv0827c_DMSO_noDrug","Pvalue_Rv0827c_DMSO_noDrug","Fold_Rv0827c_DMSO_RIF","Pvalue_Rv0827c_DMSO_RIF"
"regX3",96,0.04785,"3.78e-01",0.02371,"3.78e-01",-0.02414,"4.42e-01"
"Rv0023",1244,0.03957,"2.67e-30",0.01536,"1.83e-10",-0.02421,"2.67e-30"
"Rv2250c",488,0.04026,"3.84e-16",0.01453,"2.59e-04",-0.02573,"3.84e-16"
"senX3",96,0.04785,"3.78e-01",0.02371,"3.78e-01",-0.02414,"4.42e-01"
"Rv0078",3,0.04991,"1.00e+00",0.02496,"1.00e+00",-0.02496,"1.00e+00"
"Rv1674c",22,0.04952,"1.00e+00",0.02213,"1.00e+00",-0.02738,"1.00e+00"
"tcrA",114,0.04264,"2.62e-02",0.01559,"1.00e+00",-0.02705,"2.62e-02"
"Rv0485",13,0.04897,"1.00e+00",0.02446,"1.00e+00",-0.02451,"1.00e+00"
"pyrR",38,0.04725,"6.98e-01",0.01872,"1.00e+00",-0.02852,"6.98e-01"
"lsr2",770,0.03727,"2.99e-17",0.01488,"4.54e-06",-0.02239,"2.99e-17"
"lysG",129,0.04246,"6.68e-02",0.02152,"7.92e-02",-0.02094,"6.68e-02"
"Rv0324",695,0.03708,"2.32e-18",0.01293,"2.67e-03",-0.02416,"2.32e-18"
"Rv2989",180,0.03773,"5.42e-04",0.01303,"1.00e+00",-0.0247,"5.42e-04"
"Rv0081",1122,0.03541,"2.36e-27",0.01317,"1.15e-07",-0.02224,"2.36e-27"
"sigK",17,0.04605,"1.00e+00",0.02192,"1.00e+00",-0.02413,"1.00e+00"
"mtrA",54,0.04139,"3.65e-01",0.01255,"1.00e+00",-0.02883,"3.65e-01"
"whiB5",213,0.03667,"1.08e-05",0.01567,"3.85e-02",-0.02099,"1.08e-05"
"Rv3160c",29,0.04396,"1.00e+00",0.0195,"1.00e+00",-0.02446,"1.00e+00"
"marR",108,0.03713,"6.67e-02",0.01231,"1.00e+00",-0.02482,"6.67e-02"
"Rv3830c",163,0.0363,"3.81e-03",0.01018,"1.00e+00",-0.02613,"3.81e-03"
"groEL1",8,0.04056,"9.20e-01",0.0361,"9.20e-01",-0.00446,"1.00e+00"
"whiB4",211,0.03317,"1.15e-03",0.01316,"4.33e-01",-0.02001,"1.15e-03"
"Rv0047c",748,0.03163,"2.35e-14",0.01245,"9.05e-05",-0.01919,"2.35e-14"
"mbcA",536,0.03093,"1.66e-10",0.01027,"8.22e-01",-0.02065,"1.66e-10"
"ethR",36,0.0374,"6.79e-01",0.0159,"1.00e+00",-0.0215,"6.79e-01"
"cmtR",142,0.03296,"3.97e-02",0.01171,"1.00e+00",-0.02125,"3.97e-02"
"Rv0560c",9,0.03805,"1.00e+00",0.03067,"1.00e+00",-0.00738,"1.00e+00"
"devR",441,0.03037,"2.04e-06",0.01082,"5.73e-01",-0.01955,"2.04e-06"
